                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.27842,                0.30101,                0.87052,                0.32064,                0.29721,                0.87928,                0.98248,                0.97321,                0.98701,                0.97979,                0.16834,                0.14822,                0.78684,                0.18583,                 0.1165,                0.81179,             0.00025309,             0.00025309,             0.00025309
                     81,                0.27066,                0.29653,                0.86177,                0.30753,                0.29686,                0.86559,                0.93828,                0.94471,                 0.9824,                0.97173,                0.16251,                0.35168,                0.77092,                0.18255,                 0.3641,                0.80621,             0.00024209,             0.00024209,             0.00024209
                     82,                0.25714,                0.29134,                0.85115,                0.29418,                0.28624,                0.85656,                0.95451,                0.98678,                0.98393,                0.97189,                0.16635,                0.16913,                0.78539,                0.19989,                0.14857,                0.81233,             0.00023109,             0.00023109,             0.00023109
                     83,                 0.2766,                0.31519,                0.87829,                0.33336,                  0.328,                0.88494,                0.98969,                0.97232,                0.98526,                 0.9726,                0.15708,                0.15625,                0.78402,                0.19401,                0.13177,                0.81556,             0.00022009,             0.00022009,             0.00022009
                     84,                0.26916,                0.31513,                0.86178,                0.31348,                0.30942,                0.86922,                0.91394,                0.90539,                0.96907,                0.96088,                0.15394,                0.28493,                0.78368,                0.17617,                0.24248,                0.80207,             0.00020909,             0.00020909,             0.00020909
                     85,                0.25527,                0.28379,                0.86087,                0.30179,                0.27179,                0.86949,                0.96256,                0.95798,                 0.9848,                0.97898,                0.16216,                0.24194,                0.77907,                0.18651,                0.21929,                0.80439,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.2711,                0.29822,                0.86395,                0.30691,                0.28638,                0.86834,                0.97087,                0.93482,                0.98427,                0.97692,                0.16404,                0.20791,                0.78328,                0.18048,                0.20046,                0.80378,             0.00018709,             0.00018709,             0.00018709
                     87,                0.25715,                0.30977,                0.86417,                 0.3033,                0.31405,                 0.8688,                0.98327,                0.95856,                0.98512,                0.97517,                0.16539,                 0.1469,                 0.7836,                0.19128,                0.18388,                0.80763,             0.00017609,             0.00017609,             0.00017609
                     88,                0.26182,                0.29903,                0.85751,                0.29828,                0.27793,                0.86296,                0.97583,                0.95967,                0.98565,                0.97605,                0.15723,                0.15087,                0.78297,                0.18065,                0.16001,                 0.8036,             0.00016509,             0.00016509,             0.00016509
                     89,                0.25963,                0.27933,                0.84833,                0.29293,                0.27473,                 0.8569,                0.96689,                0.98097,                0.98584,                0.97509,                0.15872,                0.14727,                 0.7826,                0.18209,                0.14945,                0.80243,              0.0001541,              0.0001541,              0.0001541
